Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.0603,,-0.1761,,,-0.0391,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4315,,,-0.1278,,,,-0.1174,,,,,,,,,,,,0.2283,,,,,,,,,,,,,,,,-0.0664
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.2561,0.1714,,-0.05,,,,-0.0827,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2731
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0659,,,,0.0204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1185,,,,,
,,,,,,,,,,,,,,0.0206,0.0505,,0.0556,0.0677,,,0.1282,0.1023,,,,0.249,,,,-0.0972,,,,,
,,-0.1333,,,,,-0.6011,,-0.1591,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0022,0.024,0.1407,0.0187,0.5596,0.0588,0.3444,-0.219,-0.1534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.3732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.5373,,,,0.2,0.0805,-0.0213,,0.0088,-0.0658,0.5728,,,-0.1533,0.2402,,0.1193,0.0125,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0294
-0.414,-0.2515,,,0.4044,0.5564,,,0.2118,-0.1282,,,-0.2642,0.0829,,,0.1702,-0.0333,,,,0.1865,,,,0.2,,,,-0.1053,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3361,-0.4289,0.033,,-0.0098,,0.6708,-0.2365,,0.0403,,,,,,,,,,0.0229,,,0.087,0.1267,,-0.0787,,-0.05,,-0.2259,,,,-0.1225,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.1357,,,,,,-0.1935,,-0.2213,-0.0368,,,,,,,0.3448,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.2025,,,,0.2821,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.0786,0.1192,,,0.0591,,,0.0192,-0.0189,,,,,0.0042,
,,,,,,,,0.25,-0.1163,,,,-0.25,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-0.3542,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.2063,,,,-0.2894,,0.0069,,0.4855,,,,1.0588,,,,-0.0202,,,,-0.0271,,,,0.102,,,
,,,,,,,,,,,,,,,,,,,0.1688,,,,,,,,,,,,,,,,
,,,0.0461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0897,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-0.5904,,,0.0625,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-0.1971,,,,-0.1,,-0.0171,,-0.1569,,0.0556,,-0.0667,,,-0.0423,0.314,,,0.0583,0.2598,,-0.2581,0.3478,0.1183,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8286,0.0707,-0.033,0.2976
