Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,,,0,,,-0.1,-0.0244,0.0833,-0.0385,0.0053,-0.0451,,-0.0108,0.0548,0.039,,0.3558,-0.0496,-0.3642,,-0.2231,0.1279,0.088,0.0362,0.1088,-0.0185,0.1698,,0.0821,0.0414,-0.0212,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.1059,,,,,,,,,,,,,,,,0.1504,,,,0.0594,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,,-0.3636,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,-0.0395,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9675,,-0.1505,0.5385,,-0.1067,,,,,,,,,,,,,,,-0.0315,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,0.0968,-0.049,0.1856,0.3152,0.0579,0,0.2969,0.1747,0.2718,-0.3065,-0.0814,-0.2089,-0.216,-0.1592,,,,,
,,,,,,0,,,,-0.0205,,,,0.073,,0.0741,,,0.1884,,,0.4091,,0.088,0.0368,0.3121,,0.1215,-0.1256,0.0958,0.0154,0.2658,0.18,-0.0678,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4773,,,
,,,,,,,,,,,,,,0.0357,,,,,,,,,,,,0.2871,,,0.2469,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.3725,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.2219,-0.015,,,,
,,,,,,,,,,0.1607,,-0.1873,,,,0.118,,,,,,0.0616,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-0.1322,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-0.115,-0.14,,,,,,0.0231,,,,,,,,,,,,0.0034,,,-0.1143,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,-0.4327,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.0667,0.6484,-0.2767,0.2396,0.0037,0.0593,,,,-0.1582,,,,0.0843,,,,,,,
-0.3665,0.2647,,,0.902,,,,,,,,,,,,,,,,,,,,0.0537,0.1373,-0.0776,,,0.1692,-0.0193,,0.2115,0.2663,-0.0164,
,,,,,,,,,,,0.2825,,,,,,,,,,,,,,,,,,,,,,,,
-0.5182,0.3208,-0.5,,,,,,,,0.1204,,-0.0806,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,0.9101,-0.0392,,,,,,,,,,,,,,0.5122,,,,,,,,,,,,0.135,0.2295,0.1198,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.7833,,,,,,0.5385,,0.331,0.6788,-0.5123,0.0506,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.1684,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.1447,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.0732,,,,,,,,,,,,,,,,0.006,,,,
