Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,0.634,0.8297,0.1034,-0.0547,-0.1322,-0.1143,,,,,-0.1863,0.1024,,,-0.1401,,,-0.0476,0.0643,,0.0821,-0.0521,0.195,,,,,,,,,
,,,,0,0,0,0,,-0.14,-0.1744,,,,,,,,,0.1842,,-0.2698,0.5109,0.6906,,,,0.0034,,,,,,,,
,,,,0,0,0,0,0,0,0,0,,0,,0,,,,,,0.24,,,,,0.0168,-0.0055,0.5193,,,,-0.219,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,0,0,,-0.3185,,,,-0.3259,,,,,,,,,,,,-0.0172,,,-0.1633,,,,,,,,,
,,,,0.5532,0.7397,-0.3307,0.0529,0.2179,-0.1881,-0.1356,-0.1111,-0.25,0.0686,-0.1376,0.0638,0.02,,-0.0952,0.1579,-0.1364,-0.0263,,0.2346,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-0.0685,
,,,,0,0,0,0,0,0,0,0,0,0,0.3265,-0.0667,0.6484,-0.2767,0.2396,0.0037,0.0593,-0.1329,0.1694,0.0241,-0.1582,0.096,-0.1168,0.0289,,,,,,,,
,,,,,0.433,-0.1079,-0.0242,,,,-0.203,,,-0.3505,0.2169,0.0435,-0.1,-0.1574,0.3297,0.3554,-0.0488,0.2917,0.201,0.0537,0.1373,,-0.1196,-0.4352,0.1692,-0.0193,-0.0852,0.2115,0.2663,-0.0164,
,,,,0,0,0,0,0,0,,0.2825,,,,,,,,,,,,,,,,,,,,-0.0952,,,,
,,,,,0.2825,-0.1013,-0.1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.871,0.9101,-0.0392,0.0204,-0.158,-0.4394,-0.2076,-0.1604,-0.2994,-0.0636,-0.1553,0.2989,,-0.1493,,,,,0.0957,,,0.0067,,,,0.1339,,-0.0189,0.135,,,
,,,,0.1088,-0.0061,0.0062,-0.092,-0.0203,-0.1586,-0.2213,-0.1684,-0.2911,-0.125,-0.3673,0.1613,0.75,-0.254,,,,-0.1429,0.1042,0.8868,0.13,0.4513,,0.2112,,0.0569,0.1614,0.0347,,-0.0746,-0.2015,
,,,,0,0,0,0,0,,,,,,,,0.2714,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,,,,0,,-0.392,0.0263,,,,,,,0.7833,,,,,,0.5385,,,,-0.5123,,,,
,,,,,0.3226,0.25,-0.1707,,,,,,,,,,,,,,,,0.1361,,,,,,,,,,,,
,,,,0,0,0,0,0,0.6,-0.3438,-0.2143,-0.3636,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,,0.0273,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,-0.1241,-0.26,-0.3943,,-0.0642,-0.1814,0.1018,0.0707,,0.6601,-0.3095,,,,,,0.1585,-0.1263,,,-0.3111,,,,-0.1818,-0.0648,,-0.0418,
,,,,0,0,0,0,,,,-0.1324,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.7937,0.3363,-0.0066,-0.1333,0.2462,,,-0.0842,-0.1839,-0.1972,-0.2632,0.1429,,,-0.2432,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,-0.1176,0.0133,0.0263,,,,
,,,,0,0,0,0,0,,,,,,,0.1684,0.027,-0.1754,-0.1596,,,-0.2857,,,-0.1071,,,,,-0.2609,,-0.1463,0.2429,,-0.0488,
,,,,0.1845,0.1393,0.1655,-0.1358,-0.0571,,-0.0569,,,,,0.0763,,,,-0.0279,,0.125,,0.5068,,,,,,,,0.1518,,0.5244,,
,,,,,0.0718,,-0.1448,,,,0,,0.0404,-0.301,,-0.2449,,,,,-0.2597,,0.2576,,0.1646,,,,-0.2154,,,,,,
,,,,0,0,0,0.1154,-0.5862,-0.3528,-0.1502,0.0758,-0.4131,0.12,-0.4071,0.0843,0.2333,-0.2883,-0.1899,0.4531,-0.0538,-0.2614,0.1692,0.1447,-0.0805,0.05,-0.0238,-0.0732,,,,,,,,
,,,,0,0,0,0,0,-0.0103,-0.3523,0.208,-0.3245,,,,,,,0.15,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,0,,,0.3446,,,,,0.0153,,-0.0432,,-0.2043,,0.1946,,0.0279,,0.2353,-0.2222,,-0.1026,,
,,,,0,0,0,0,,,,,-0.2986,-0.1692,,,,,,-0.0286,,,,,,,,,,,,,,,,
,,,,,0,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.225,0.573,0.0786,-0.1788,-0.1371,-0.0093,-0.0283,-0.033,-0.261,0.0598,-0.2,0.141,0.0955,-0.1795,0.2344,0.2304,-0.0123,0.0396,-0.02,0.1656,0.0526,0.2417,-0.2886,-0.1189,,,,,,0.4312,,
,,,,0,0,0,0,,,,-0.0218,,,-0.3151,-0.24,,,,,,,,,,,,,,,,,,,,
,,,,,,-0.119,-0.1042,,,,-0.0854,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.7453,0.1297,0.0287,-0.3256,,,,-0.01,,0.0135,,,,,-0.025,,,,,,,,,0,-0.1014,,,,,,,
,,,,1.3684,0.0074,0.0147,-0.1377,0.1092,-0.2727,-0.2292,-0.1757,-0.2787,,-0.2353,-0.1282,,,-0.2424,,,,,-0.0326,,,,,-0.1563,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,0,0,0,0,,,-0.0217,-0.2933,,-0.0974,,0.2813,,,,0.1807,,-0.2233,,,,0.0357,,,,,,,,-0.7288,,
,,,,0,0,0,0,,,,0,,-0.0909,-0.164,-0.3301,,,,,,,,,,,,,,,,,,,,
,,,,0.7917,-0.1488,1.6503,-0.0866,,,,-0.1618,,,,,,-0.2021,,,,,,,,,,,,,,,,,,
,,,,,0.4211,-0.0741,-0.04,0.1719,0.5956,,-0.2627,-0.4253,,,0.1233,0.2317,,,,-0.0515,,,,,,,,-0.0503,,,,,-0.0435,,
,,,,0.9437,0.1304,0.25,-0.1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.5357,0.0174,-0.0114,-0.1445,,,,-0.1491,,,,,,,,,,,,,,,,,,,,0.0952,,,,
,,,,,0.0256,,-0.0581,-0.3973,,,-0.1224,,-0.1287,,0.12,,-0.2294,-0.25,0.3492,,-0.2537,,,,,,,,-0.1852,0.0606,,,,-0.0146,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-0.0603,,,,
,,,,0.5478,0.3745,-0.1078,-0.0503,0.0954,-0.1452,0.0755,-0.1509,-0.2025,0.3316,0.07,-0.5236,0.4198,0.1237,-0.4593,0.6726,-0.1534,-0.2688,-0.1453,0.7,-0.0529,0.3168,0.3726,0.1615,-0.3195,0.013,-0.0515,0.009,-0.0897,0.1724,0.0252,
,,,,0,0,0,-0.2049,0.2715,-0.2703,-0.3222,-0.1366,-0.3101,-0.2202,-0.0824,-0.2179,-0.0328,-0.322,-0.225,0.1613,-0.1111,-0.2188,0.4,0.2286,0.093,0.383,0.0769,-0.0286,0.0735,-0.0411,0.0571,-0.0676,0.1449,0.0886,-0.0581,
