Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,TA9,,,TA9,,,,TA9,TA9
,,,,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG
,,,,TBX,TBX,TBX,TBX,TBX,TBX,TBX,TBX,TBX,TBX,TBX,TBX,TBX,TBX,TBX,TBX,TBX,TBX,TBX,TBX,TBX,,,,,,,,,,,
,,,,,TC6,,TC6,TC6,TC6,TC6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TCS,TCS,TCS,TCS,TCS,TCS,TCS,TCS,TCS,TCS,TCS,TCS,TCS,TCS,,,,,,,,TCS,,,,TCS,,,,TCS,,
,,,,,TDN,TDN,TDN,,TDN,TDN,TDN,,TDN,,,TDN,,,TDN,,TDN,,TDN,,,,,,TDN,,,,TDN,,
,,,,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,TEG,,,,,
,,,,TET,TET,TET,TET,TET,,,TET,,,,,TET,TET,,,,,,,,,TET,TET,,,,,,,,
,,,,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,TFC,,,TFC,TFC,,,,
,,,,TH1,TH1,TH1,TH1,,,,,,,TH1,,,TH1,TH1,,,,,TH1,,,TH1,,,,,,,,,
,,,,THB,THB,THB,,,,,,,,,,,,,THB,,,,,,,,,,,,,,,,
,,,,THS,THS,THS,THS,THS,THS,THS,THS,THS,THS,THS,THS,THS,THS,THS,THS,THS,THS,,,,,,,,,,,,,,
,,,,THT,THT,THT,THT,THT,THT,THT,THT,THT,THT,THT,THT,THT,THT,THT,THT,,THT,,THT,,,,,,,,,,,,
,,,,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,TTH,,,,
,,,,TIG,TIG,TIG,TIG,TIG,,,,,,,,,,,,,,TIG,TIG,,,,TIG,,,,,,,,
,,,,TJC,TJC,TJC,TJC,,,,TJC,,,,,,,,,TJC,,,TJC,TJC,,,,,,,,TJC,TJC,TJC,
,,,,TKC,TKC,TKC,TKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,TKC
,,,,TKU,TKU,TKU,TKU,,,,TKU,,,,,,,,,,,,,,,,,,,,TKU,,,,
,,,,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,,,MBS,MBS,,,,,,,,,MBS,,MBS,MBS
,,,,,TMC,TMC,TMC,TMC,TMC,TMC,TMC,TMC,TMC,TMC,,TMC,,TMC,,TMC,,,,,,,,,,,,,,,
,,,,TMX,TMX,TMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX,BAX
,,,,TNG,TNG,TNG,TNG,,,,TNG,,,,,,,,,,TNG,,TNG,,,,,,,,,,,,
,,,,TPH,TPH,TPH,TPH,,,,TPH,,,TPH,TPH,,,,,,,TPH,TPH,,,,,,,,,,,,
,,,,TPP,TPP,TPP,TPP,TPP,TPP,,,,TPP,TPP,,,,,,,TPP,,,,,,,,,,TPP,,,,
,,,,TSB,TSB,TSB,TSB,TSB,,TSB,TSB,,TSB,,,,,,,,,,,,,,,,,,,,,,
,,,,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,TST,,,,,,
,,,,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,TTB,,,,,,,,
,,,,TTC,TTC,TTC,TTC,,TTC,,TTC,,TTC,,,,,,,,,,,,,,,,,,,,,,
,,,,TTZ,TTZ,TTZ,TTZ,TTZ,TTZ,TTZ,TTZ,TTZ,TTZ,TTZ,TTZ,TTZ,TTZ,TTZ,TTZ,,,TTZ,TTZ,,,,TTZ,,,,,,,TTZ,
,,,,TV2,TV2,TV2,TV2,,,,,,,,,,,,,,,,,,TV2,TV2,,,,,,TV2,,TV2,
,,,,TV3,TV3,TV3,TV3,,,,,,,,,,,,,,,,,,,,,,TV3,,,,,TV3,TV3
,,,,TV4,,TV4,TV4,,,TV4,TV4,,TV4,TV4,,,,,,,,,,,,,TV4,,,TV4,,,,,TV4
