No,Ticker,R4_2016,R3_2016,R2_2016,R1_2016,R4_2015,R3_2015,R2_2015,R1_2015,R4_2014,R3_2014,R2_2014,R1_2014,R4_2013,R3_2013,R2_2013,R1_2013,R4_2012,R3_2012,R2_2012,R1_2012,R4_2011,R3_2011,R2_2011,R1_2011,R4_2010,R3_2010,R2_2010,R1_2010,R4_2009,R3_2009,R2_2009,R1_2009,R4_2008,R3_2008,R2_2008,R1_2008,
29,BRC,,0.0185,0.1134,0.043,-0.0412,0.1023,-0.1111,-0.01,0,0,-0.0909,0,0.0092,-0.0091,-0.0678,0.0351,0.0179,-0.1515,0.056,0.3736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,BSI,,0.0792,0.1222,-0.0816,0.0426,-0.0208,0.0549,-0.1495,-0.1083,0.3636,0.3538,-0.0152,0.32,0.4706,-0.1053,-0.0732,0.1389,-0.3333,-0.25,0.3091,-0.2143,-0.2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,BTP,,-0.0584,-0.0616,0.1145,0.213,-0.1496,-0.1753,-0.0065,0.1232,0.0952,-0.0455,-0.1698,0.1439,0.0859,-0.2147,0.6465,0.678,-0.1061,0.082,0.4524,0.3548,-0.2955,-0.0638,-0.4268,-0.0889,-0.2174,-0.1085,0.0488,-0.2166,0,0,0,0,0,0,0,
32,BTT,,-0.0399,0.0324,-0.0885,-0.1055,0.3072,-0.2025,-0.0244,0.025,0.2658,-0.2899,0.2714,0.2963,0.0714,-0.0308,0.1304,0.0698,-0.0227,0.0427,0.1105,0.0615,-0.1005,0.0365,-0.1467,-0.1379,-0.2521,-0.159,0,0,0,0,0,0,0,0,0,
33,BVH,,-0.0516,0.0333,0.1538,-0.037,0.1613,0.267,-0.0213,0.0246,-0.1738,0.0938,-0.1365,0.1356,0.1504,-0.3029,-0.0374,0.9597,-0.1049,-0.3813,-0.1036,-0.0598,0.0086,-0.2927,0.1469,0.126,0.3093,0.0363,0.04,0.6667,-0.3399,0,0,0,0,0,0,
34,C32,,-0.165,0.5022,0.0988,0.2242,0.1338,-0.0884,0.0513,0.0685,-0.0818,0.1003,-0.0399,0.1992,0.6405,0.1504,0.031,-0.1042,4.1429,0.0769,0.04,-0.1935,-0.0313,-0.5294,-0.4333,0,0,0,0,0,0,0,0,0,0,0,0,
35,C47,,-0.2711,-0.1233,0.3519,-0.2,-0.0625,0.1077,-0.2778,0.0588,0.0303,-0.1951,-0.0238,0.2,-0.0057,0.1,-0.0184,0.3471,0.0708,0.13,0.1111,-0.0526,-0.0404,0.0206,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,CAV,,0.0511,0.2662,0.1983,0.2058,0.3,0.128,-0.1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,CCI,,-0.0833,0.1321,0.0095,-0.2391,0.2545,-0.0833,-0.0551,-0.1241,0.2946,0.037,-0.1496,0.1759,0.0588,0.1087,-0.0707,0.1786,-0.0562,-0.1359,0.0098,-0.0192,-0.0877,-0.1799,-0.1871,-0.212,-0.132,-0.2447,0,0,0,0,0,0,0,0,0,
38,CCL,,-0.0938,-0.2195,0.3226,-0.0313,0.0667,-0.2683,0,-0.2679,-0.0667,0.2,-0.0196,0.0851,0.4242,-0.1538,-0.0488,0.0789,-0.0952,-0.3731,-0.4071,0.2283,-0.1636,-0.1129,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,CDC,,-0.0726,0.2039,0.1705,0.1733,0.0714,-0.2222,-0.0526,-0.0686,0.3247,0.2419,-0.0159,0.0328,0.5641,-0.22,-0.0741,0.08,-0.1935,-0.2152,0.2154,-0.1216,-0.2292,-0.3684,-0.364,0.0346,0,0,0,0,0,0,0,0,0,0,0,
40,CDO,,0.1171,0.0847,0.0964,0.1067,0.2341,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,STK,,-0.13,-0.2958,-0.0373,-0.0781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,CHP,,0.0121,0.0781,-0.04,-0.0566,0.1648,-0.0162,0.2013,0.1,0.2281,0.0755,-0.0093,0.2022,0.2192,0.0139,0.0141,0.1639,-0.0615,-0.058,0.3529,0.0851,-0.1754,0.0364,-0.127,0,-0.2588,0,0,0,0,0,0,0,0,0,0,
43,CIG,,-0.1061,0.7368,-0.05,0.3333,-0.2105,0.0556,-0.28,-0.1667,-0.1176,0,-0.2093,0.2647,0.7,-0.2308,-0.0714,0.12,-0.3243,-0.1957,0.2432,-0.1778,-0.2623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,CII,,0.0315,0.1304,0.0812,0.0884,-0.0851,0.1869,0.082,-0.0317,-0.1525,0.1989,-0.2734,0.3474,0.2258,-0.2548,-0.1475,0.0083,0.0298,-0.1952,0.187,0.1549,-0.0779,-0.1047,-0.2833,0.0056,0.0056,-0.0895,0.0289,-0.3391,0.0849,0.4171,0.8794,-0.1943,-0.3396,0.6404,-0.5043,
45,CLC,,0,0.0926,0.1297,-0.0245,0.404,0.1079,0.0606,-0.0198,0.0236,0.0496,-0.0408,0.097,0.1964,0.1034,0.2848,0.0897,-0.0333,-0.0385,0.1471,0.1057,-0.0538,-0.1034,-0.1667,-0.0225,-0.1682,-0.0736,-0.0375,-0.0977,0.0813,0.0293,0.5223,-0.0485,-0.229,-0.1985,-0.4438,
46,CLG,,-0.0488,0,-0.1458,-0.0943,-0.0862,-0.1944,-0.0137,-0.0519,-0.061,0.038,-0.3417,0.2903,0.274,-0.3707,0.4146,0.8636,-0.2667,-0.5041,-0.0242,0.1071,0.2043,-0.2901,-0.4496,-0.2539,-0.3213,0,0,0,0,0,0,0,0,0,0,
47,CLL,,-0.0259,0.1297,-0.0553,-0.0194,0.075,-0.1519,-0.1044,-0.1222,-0.0137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,CLW,,0.0625,-0.1061,0.0848,0.0313,0.0458,-0.0838,-0.0722,0.1111,0.0125,0,0.0191,0.1214,0.1111,0.0588,-0.1185,0.2736,0.0192,-0.0545,0.2088,0.1519,0.0822,0.0896,-0.0946,0,0,0,0,0,0,0,0,0,0,0,0,
49,CMG,,0.0268,-0.0067,-0.0385,0.0986,0.0441,-0.0621,0.5591,0,0.2917,0.2203,-0.1324,0.36,0.0638,0.0682,-0.1698,0.325,-0.1111,-0.1964,-0.1385,0.0317,-0.2921,-0.2193,-0.3559,0.0057,-0.1963,-0.1577,0.0612,0,0,0,0,0,0,0,0,
50,CMT,,0.1442,-0.2464,0.0222,-0.129,0.3025,-0.0325,0.1182,0.0092,-0.0091,0.1224,-0.1327,0.8833,0.0169,0.1132,0.0192,0.0196,-0.0727,-0.2029,-0.0282,-0.1125,0.194,-0.2024,-0.6,0.0825,-0.3533,-0.3548,0,0,0,0,0,0,0,0,0,
51,CMV,,0.0126,-0.0062,0,0.039,0.0694,0.0141,-0.0839,-0.0064,0.1387,0.062,-0.0301,-0.0432,0.0373,-0.1677,-0.195,0.1834,0.0562,-0.1351,-0.1395,-0.1189,0.0167,0.1215,-0.097,-0.1023,-0.12,0,0,0,0,0,0,0,0,0,0,
52,CMX,,-0.068,0.0204,0,-0.0755,-0.0702,-0.0952,-0.16,-0.1667,0.3043,0.3269,0,-0.1475,0.1731,-0.037,0.3171,0.1714,-0.186,-0.1224,0,0.225,-0.4521,-0.0267,-0.4485,-0.0933,0,0,0,0,0,0,0,0,0,0,0,
53,CNG,,0.0171,0.1081,0.1783,-0.0737,0.157,-0.0298,-0.0443,-0.1048,-0.1432,0.0701,-0.125,0.3968,-0.1298,0.2271,0.0612,0.2087,-0.1321,-0.0399,-0.0072,0.2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,COM,,0.1622,-0.0781,-0.0949,0.0784,0.275,0.0746,-0.2317,0.2457,-0.0591,0.1625,0.0811,0.1341,-0.0297,-0.0692,-0.0677,0.1481,-0.069,0.0357,0.1155,-0.1193,-0.1593,0.0304,0.003,-0.1183,-0.07,-0.2727,0,0,-0.0455,0.1957,0.3411,0,-0.0499,0.1797,-0.2966,
55,CSM,,-0.1839,-0.316,0.1241,0.0545,-0.0317,-0.2661,-0.0301,-0.0932,-0.0435,0.1358,-0.0493,0.2241,0.0675,-0.1768,0.375,0.4118,-0.2302,0.0996,1.1327,0.2841,-0.3669,0.0611,-0.4304,-0.1544,-0.1579,-0.4127,-0.1129,-0.2994,0.1132,0,0,0,0,0,0,
56,CSV,,-0.1424,0.4714,0.05,-0.0566,-0.0047,0.1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,CTD,,-0.2922,0.3807,0.1503,0.0338,0.5258,0.2278,0.3167,-0.0164,-0.0161,0,-0.0159,0.3907,0.2943,-0.0741,0.1631,0.0906,-0.0387,-0.2191,0.2603,0.1932,-0.2727,-0.1146,-0.287,-0.1221,-0.0643,-0.1139,-0.3876,0,0,0,0,0,0,0,0,
58,CTG,,-0.0747,-0.0225,0,-0.0326,-0.0466,-0.0103,0.0052,0.3857,-0.0541,-0.0067,-0.1534,0.0233,-0.1179,0.0372,-0.06,0.087,-0.0366,-0.0637,-0.157,0.2222,-0.2556,-0.0112,0.0151,0.4247,-0.1584,-0.1815,-0.1667,0.1655,-0.2853,0,0,0,0,0,0,
59,CTI,,0.011,0.1381,0.2513,-0.0498,0.2563,0.4953,0.07,-0.0385,-0.2121,0.0732,-0.1214,0.5556,0.3043,0.0299,0.0806,-0.0882,-0.3061,-0.2344,-0.1172,-0.364,0.1753,-0.331,-0.2658,0.1351,0.0909,0.1272,0,0,0,0,0,0,0,0,0,
60,CYC,,-0.0725,0.3333,-0.0323,-0.1389,-0.027,-0.0263,-0.0256,0.0263,-0.2083,-0.1864,-0.1324,0.36,0.0417,0.7143,0,0.1667,0,0.0909,-0.0435,-0.2581,0.0333,-0.2308,-0.2642,-0.197,-0.2048,-0.0778,0.0588,-0.15,-0.0909,0.1111,0.4143,-0.2708,-0.52,1.0202,-0.3077,
61,D2D,,-0.1035,0.371,-0.0343,-0.0273,0,0.0345,-0.0185,-0.0525,0.2035,0.2838,-0.1294,0.3077,0.0541,0.0632,0.0357,-0.0345,-0.13,0.0929,0.0578,0.0176,-0.0957,-0.0105,-0.3891,-0.1289,-0.345,-0.1066,0.2373,-0.15,0.1262,0,0,0,0,0,0,
62,DAG,,-0.0435,0.3761,0.0935,-0.0932,0.0172,-0.4957,0.7692,0,0.0078,0,-0.1457,0.2583,0.0256,-0.1875,-0.1273,0.65,-0.2,0.2136,0.6094,0.2075,-0.4646,-0.3311,-0.0513,0.013,-0.1895,-0.0306,0,0,0,0,0,0,0,0,0,
63,DAH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,ADS,,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,DCL,,0.0673,0.0519,-0.4176,0.6178,-0.1728,-0.2972,-0.1801,-0.0923,0.4815,0.2904,-0.1082,0.2762,0.2256,0.413,0.1897,0.3976,-0.1782,-0.1441,-0.2436,0,0,-0.1236,-0.4027,-0.0859,-0.3427,-0.1733,0.1111,-0.0182,-0.1603,0.2718,0.6454,0.1382,0,0,0,
66,DCM,,-0.0402,-0.1579,0.0472,0.0079,-0.0308,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,DGW,,0.3727,-0.3,-0.2308,-0.118,-0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
